gender,age_range,city_name,state_name,country_name,user_count,subject,description,link,image_link,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
female,25-34,San Diego,California,United States,1,Best Chicken Parmesan Recipe,So good and not that hard to make. Love this website too by the way! All kinds of recipes for all kinds of diets & goals!!!,http://allrecipes.com/recipe/261551/best-chicken-parmesan/?internalSource=rotd&referringContentType=home%20page&clickId=cardslot%201,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/b2d8d894-4eca-4a74-b53e-ba19d95511a0_1630476833193_206ec6c1_67f6_49a6_b389_ef42a0b09f6b.jpg,Recipe,Parmesan,Chicken,Best,,,,,,
male,25-34,San Diego,California,United States,4,"Dynoro, Ina Wroldsen - Obsessed (Tiësto Remix)",Tiesto bringing back that old school sound and I love it,https://youtu.be/-5TzGKrbuPI,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/db0fff3e-8e12-4376-9cce-dfcba41f7c69_1630477616882_c4dad8bb_e258_466d_a81a_0e277f01b07d.jpg,workout,tiesto,progressive house,party,music,female vocals,throwback,Wroldsen,sick drop,Remix
male,25-34,San Diego,California,United States,2,Alyx Ander - Interstellar,way too good,https://soundcloud.com/inrotationrecs/alyx-ander-interstellar,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/f1ad3817-622d-422c-a348-1eba321395fd_1630478045166_c8317a54_22ca_42e3_b9e5_a5c05ca6ff19.jpg,groovy,tech,dance,soundcloud,music,house,Ander,tracks,sound,Interstellar
female,18-24,Jamaica Plain,Massachusetts,United States,1,The Haunting of Bly Manor (TV Mini-Series 2020) - IMDb,Awesome horror tv-series with a really interesting plot and great characters,https://www.imdb.com/title/tt10970552/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/f9d5ed9d-2305-4857-bba4-bb106442fa79_1630478196674_e740c33c_15f3_49af_9b06_014acf51efd4.jpg,tv show,television,scary,horror,heartfelt,drama,,,,
female,18-24,San Diego,California,United States,1,Hang the DJ - Black Mirror | Netflix ,Wow just wow. Finally go the chance to watch this all the way through. By far my favorite black mirror episode.,https://www.netflix.com/watch/80131569?trackId=13752289&tctx=0%2C3%2C3b8571d4-2472-4e40-9d3a-f3656c68075d-15916188%2C%2C,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/3073b657-832c-401f-9b09-1ed549f7d073_1630474302226_eeabfaab_ef92_437c_803e_bba4cadf8000.jpg,emotional,relationships,Netflix,depressing,Black mirror,sensational,dystopian,watch TV,Shows,Sci fi
female,25-34,San Diego,California,United States,3,Brooklyn Girl Eatery,,http://brooklyngirleatery.com/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/bd8aa053-874d-497d-83cd-c61a5a66ea62_1630477051924_901b61e4_e0b1_4093_a3ac_3cdadb557517.jpg,restaurant,dinner,wood-fired oven,wine shop,vegetarian options,unparalleled service,Sunday Suppers,seasonal-local-sustainable-organic,San,pizza
male,18-24,San Diego,California,United States,1,Go Deep - Gorgon City,Repeat,https://soundcloud.com/gorgon-city/go-deep,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/4f84f642-f2c3-41d2-83c5-ae1acc361ae9_1630474893149_b06b12df_8d2c_429c_9a28_e27858f71d4c.jpg,groovy,vibe,summer vibe,summer,soundcloud,repeat,Go,Deep,,
male,18-24,New York,New York,United States,1,US Open 2017 LIVE,It's only once a year mofo ,http://www.express.co.uk/sport/tennis/850513/US-Open-2017-LIVE-updates-Roger-Federer-Rafa-Nadal,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/08ddb019-3ec1-4165-9849-8566df043b7c_1630473520909_090be99b_6470_4873_9091_1b52ea638906.jpg,tennis,espn,sports,US Open 2017,US Open,US,updates,Roger Federer,Roger,Rafa Nadal
female,18-24,San Diego,California,United States,1,Buffalo Wild Wings® | Wings. Beer. Sports.,Simply a great sports bar chain with really tasty wings.,https://www.buffalowildwings.com/en/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/ced5ef81-2667-4c47-9d87-730321dfed51_1630477382709_9d61f9eb_678f_4c09_a31a_b2e6c7da12a4.jpg,Sports,Wings,wild,watch live sports,watch,sports bars,sit,San,restaurants with live sports,restaurant
male,18-24,San Diego,California,United States,1,Nordstrom Restaurants | Quality Food & Drinks,Nordstroms cafes always make me feel cozy and full even as a mid-shopping snack!,https://m.shop.nordstrom.com/c/nordstrom-restaurants,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/ddb34dbb-38d0-4205-b1c0-ef3935f02347_1630477667169_71bb1faa_0280_4f5b_98b7_a68b22fb2075.jpg,tomato soup,restaurants,restaurant,Nordstrom,food,cafe,shopping,Quality,Drinks,
